review,sentiment,dish
"Amazing food and ambience. This cafe has a beautiful cozy space and we tried their avocado toast, penne pomodore, margharita pizza and delicious hot chocolate and sticky toffee pudding. Will definitely come back to try more from the menu.",positive,pizza
"Excellent coffee and pastries! The French door has become my go-to spot for breakfast. Their croissants are buttery and flaky, just like in Paris. The staff is friendly and the atmosphere is perfect for working or catching up with friends.",positive,coffee
"Great place for brunch! The eggs benedict was perfectly cooked and the hollandaise sauce was creamy. The coffee is strong and aromatic. Only downside is it can get quite crowded on weekends, so make a reservation.",positive,coffee
The pasta here is authentic and delicious! I had the carbonara and it was creamy with the perfect amount of cheese. The portion size is generous and the price is reasonable. Definitely recommend for Italian food lovers.,positive,pasta
Beautiful interior design and cozy atmosphere. Perfect for a date or business meeting. The salmon was cooked to perfection and the vegetables were fresh. Service was attentive without being intrusive.,positive,general
"Love their dessert selection! The chocolate lava cake is to die for - warm, gooey center with vanilla ice cream. The tiramisu is also authentic and not too sweet. Great place to satisfy your sweet tooth.",positive,dessert
"The service was a bit slow during lunch rush, but the food quality made up for it. The chicken sandwich was juicy and the fries were crispy. The mango smoothie was refreshing. Will come back during off-peak hours.",neutral,burger
"Fantastic pizza! The crust is thin and crispy, toppings are fresh and flavorful. The margherita pizza reminded me of authentic Italian pizzerias. The wine selection complements the food perfectly.",positive,pizza
"Great spot for weekend brunch with family. Kids loved the pancakes and fresh fruit. The outdoor seating is lovely when weather permits. Parking can be challenging, but the food is worth the effort.",positive,dessert
"The French onion soup was rich and flavorful with perfectly melted cheese on top. The bread bowl was a nice touch. However, the main course took a while to arrive. Overall good experience but room for improvement in service timing.",positive,bread
"Disappointing experience. The soup was cold when served and the salad was wilted. When we complained, the staff was apologetic but it took another 20 minutes to get a replacement. The ambiance is nice but food quality needs improvement.",negative,salad
Excellent vegetarian options! The quinoa salad was fresh and nutritious. The veggie burger was surprisingly tasty with a good texture. Great to find a place that caters well to vegetarians without compromising on taste.,positive,burger
The seafood pasta was exceptional! Fresh prawns and mussels in a light garlic sauce. The bread was warm and crusty. Wine pairing suggestions from the server were spot on. A bit pricey but worth it for special occasions.,positive,pasta
